tanggal,penambahan kasus,total kasus
1-May,433,433
2-May,292,725
3-May,349,1074
4-May,395,1469
5-May,484,1953
6-May,367,2320
7-May,338,2658
8-May,336,2994
9-May,533,3527
10-May,387,3914
11-May,233,4147
12-May,4484,8631
13-May,689,9320
14-May,568,9888
15-May,490,10378
16-May,529,10907
17-May,489,11396
18-May,496,11892
19-May,486,12585
20-May,693,13278
21-May,973,14251
22-May,634,14885
23-May,949,15834
24-May,526,16360
25-May,479,16839
26-May,415,17254
27-May,686,17940
28-May,687,18627
29-May,678,19305
30-May,557,19862
31-May,700,20562
